,tile_id,accepted_number_of_marks
615,SWC0141_2_2,0
616,SWC0141_2_3,1
617,SWC0141_3_1,4
618,SWC0141_3_2,6
619,SWC0141_3_3,5
620,SWC0141_4_1,0
621,SWC0141_4_2,4
622,SWC0141_4_3,8
623,SWC0142_1_1,7
624,SWC0142_1_2,0
625,SWC0142_1_3,0
626,SWC0142_2_1,9
627,SWC0142_2_2,8
628,SWC0142_2_3,4
629,SWC0142_3_1,3
630,SWC0142_3_2,8
631,SWC0142_3_3,2
632,SWC0142_4_1,5
633,SWC0142_4_2,12
634,SWC0142_4_3,3
635,SWC0143_1_1,14
636,SWC0143_1_2,5
637,SWC0143_1_3,10
638,SWC0143_2_1,0
639,SWC0143_2_2,1
640,SWC0143_2_3,13
641,SWC0143_3_1,0
642,SWC0143_3_2,0
643,SWC0143_3_3,0
644,SWC0143_4_1,0
645,SWC0143_4_2,0
646,SWC0143_4_3,0
647,SWC0150_1_1,14
648,SWC0150_1_2,1
649,SWC0150_1_3,0
650,SWC0150_2_1,6
651,SWC0150_2_2,0
652,SWC0150_2_3,0
653,SWC0150_3_1,13
654,SWC0150_3_2,0
655,SWC0150_3_3,0
656,SWC0150_4_1,13
657,SWC0150_4_2,1
658,SWC0150_4_3,0
659,SWC0151_1_1,0
660,SWC0151_1_2,0
661,SWC0151_1_3,1
662,SWC0151_2_1,0
663,SWC0151_2_2,0
664,SWC0151_2_3,0
665,SWC0151_3_1,0
666,SWC0151_3_2,0
667,SWC0151_3_3,0
668,SWC0151_4_1,0
669,SWC0151_4_2,0
670,SWC0151_4_3,0
671,SWC0154_1_1,0
672,SWC0154_1_2,0
673,SWC0154_1_3,0
674,SWC0154_2_1,0
675,SWC0154_2_2,0
676,SWC0154_2_3,1
677,SWC0154_3_1,0
678,SWC0154_3_2,0
679,SWC0154_3_3,0
680,SWC0154_4_1,0
681,SWC0154_4_2,0
682,SWC0154_4_3,0
683,SWC0156_1_1,2
684,SWC0156_1_2,0
685,SWC0156_1_3,0
686,SWC0156_2_1,4
687,SWC0156_2_2,0
688,SWC0156_2_3,0
689,SWC0156_3_1,5
690,SWC0156_3_2,0
691,SWC0156_3_3,0
692,SWC0156_4_1,9
693,SWC0156_4_2,16
694,SWC0156_4_3,0
695,SWC0157_1_1,0
696,SWC0157_1_2,0
697,SWC0157_1_3,0
698,SWC0157_2_1,1
699,SWC0157_2_2,1
700,SWC0157_2_3,0
701,SWC0157_3_1,0
702,SWC0157_3_2,0
703,SWC0157_3_3,0
704,SWC0157_4_1,0
705,SWC0157_4_2,0
706,SWC0157_4_3,0
707,SWC0167_1_1,11
708,SWC0167_1_2,6
709,SWC0167_1_3,12
710,SWC0167_2_1,15
711,SWC0167_2_2,9
712,SWC0167_2_3,9
713,SWC0167_3_1,15
714,SWC0167_3_2,24
715,SWC0167_3_3,28
716,SWC0167_4_1,2
717,SWC0167_4_2,3
718,SWC0167_4_3,0
719,SWC0171_1_1,0
720,SWC0171_1_2,1
721,SWC0171_1_3,1
722,SWC0171_2_1,0
723,SWC0171_2_2,0
724,SWC0171_2_3,0
725,SWC0171_3_1,0
726,SWC0171_3_2,0
727,SWC0171_3_3,0
728,SWC0171_4_1,4
729,SWC0171_4_2,4
